name,author,id
1984,George Orwell,105
To Kill a Mockingbird,Harper Lee,111
Moby-Dick,Herman Melville,115
War and Peace,Leo Tolstoy,123
Pride and Prejudice,Jane Austen,130
The Catcher in the Rye,J.D. Salinger,138
The Hobbit,J.R.R. Tolkien,144
Ulysses,James Joyce,150
The Divine Comedy,Dante Alighieri,160
Crime and Punishment,Fyodor Dostoevsky,170
Madame Bovary,Gustave Flaubert,180
The Odyssey,Homer,190
The Brothers Karamazov,Fyodor Dostoevsky,200
One Hundred Years of Solitude,Gabriel Garcia Marquez,210
Les MisÃ©rables,Victor Hugo,220
Don Quixote,Miguel de Cervantes,230
The Iliad,Homer,240
In Search of Lost Time,Marcel Proust,250
The Sound and the Fury,William Faulkner,260
The Old Man and the Sea,Ernest Hemingway,270
Brave New World,Aldous Huxley,280
Anna Karenina,Leo Tolstoy,290
The Stranger,Albert Camus,300
The Trial,Franz Kafka,310
The Grapes of Wrath,John Steinbeck,320
Alice's Adventures in Wonderland,Lewis Carroll,330
Wuthering Heights,Emily BrontÃ«,340
The Metamorphosis,Franz Kafka,350
Jane Eyre,Charlotte BrontÃ«,360
Middlemarch,George Eliot,370
Great Expectations,Charles Dickens,380
The Scarlet Letter,Nathaniel Hawthorne,390
The Picture of Dorian Gray,Oscar Wilde,400
Frankenstein,Mary Shelley,410
Dracula,Bram Stoker,420
Catch-22,Joseph Heller,430
Beloved,Toni Morrison,440
Slaughterhouse-Five,Kurt Vonnegut,450
Lolita,Vladimir Nabokov,460
The Sun Also Rises,Ernest Hemingway,470
Fahrenheit 451,Ray Bradbury,480
A Tale of Two Cities,Charles Dickens,490
Macbeth,William Shakespeare,500
The Catch-22,Joseph Heller,510
The Bell Jar,Sylvia Plath,520
The Road,Cormac McCarthy,530
Life of Pi,Yann Martel,540
Gone with the Wind,Margaret Mitchell,550
The Handmaid's Tale,Margaret Atwood,560
The Chronicles of Narnia,C.S. Lewis,570
The Alchemist,Paulo Coelho,580
A Clockwork Orange,Anthony Burgess,590
The Count of Monte Cristo,Alexandre Dumas,600
python,amirali,261
data science,ali,349
c#,reza,578
